،	Arabic, Arabic comma, comma
؛	Arabic, Arabic semicolon, semi-colon
؟	Arabic, Arabic question mark, question, question mark
‘	apostrophe, curly quote, left apostrophe, quote, single quote, smart quote
’	apostrophe, curly quote, quote, right apostrophe, single quote, smart quote
“	curly quotes, double quote, left quotation mark, quotation, quote, smart quotation
”	curly quotes, double quote, quotation, quote, right quotation mark, smart quotation
)	bracket, close parenthesis, paren, parens, parenthesis, right round bracket, round bracket
[	bracket, crotchet, left square bracket, open square bracket, square bracket
]	bracket, close square bracket, crotchet, right square bracket, square bracket
{	brace, bracket, curly brace, curly bracket, gullwing, left curly bracket, open curly bracket
}	brace, bracket, close curly bracket, curly brace, curly bracket, gullwing, right curly bracket
《	bracket, double angle bracket, left double angle bracket, open double angle bracket
》	bracket, close double angle bracket, double angle bracket, right double angle bracket
「	bracket, corner bracket, left corner bracket, open corner bracket
」	bracket, close corner bracket, corner bracket, right corner bracket
『	bracket, hollow corner bracket, left hollow corner bracket, open hollow corner bracket
』	bracket, close hollow corner bracket, hollow corner bracket, right hollow corner bracket
【	bracket, left black lenticular bracket, lens bracket, lenticular bracket, open black lens bracket
】	bracket, close black lens bracket, lens bracket, lenticular bracket, right black lenticular bracket
〔	bracket, left tortoise shell bracket, open tortoise shell bracket, shell bracket, tortoise shell bracket
〕	bracket, close tortoise shell bracket, right tortoise shell bracket, shell bracket, tortoise shell bracket
〖	bracket, hollow lens bracket, hollow lenticular bracket, left hollow lenticular bracket, open hollow lens bracket
〗	bracket, close hollow lens bracket, hollow lens bracket, hollow lenticular bracket, right hollow lenticular bracket
@	at sign
%	per cent, per-cent, percent, percentage
↹	arrow, bar, leftwards, leftwards arrow to bar over rightwards arrow to bar, leftwards over rightwards arrow bars, rightwards
∂	differential, partial derivative, partial differential
∃	existential, mathematics, quantifier, there exists
∅	empty set, mathematics, null set, null sign, set operator
∉	element, not an element, not an element of, set
∎	end of proof, end proof, halmos, q.e.d., qed, tombstone
∑	mathematics, n-ary summation, sigma, summation
<	less than, less-than sign, open tag, tag
>	close tag, greater than, greater-than sign, tag
|	bar, line, pipe, sheffer stroke, vertical bar, vertical line
∓	minus-or-plus, minus-plus
∝	is proportional, proportional, proportionality
∣	divides, divisor, vertical bar
∥	parallel, parallel to
∮	complex analysis, contour integral
≃	asymptote, asymptotically equal, asymptotically equal to, mathematics
≅	approximately equal, approximately equal to, congruence, equality, isomorphism, mathematics
≈	about, almost equal, approximate, approximation, around
≌	all equal, all equal to, equality, mathematics
≣	equality, mathematics, strictly equivalent, strictly equivalent to
≤	equal, equals, inequality, less than or equal to, less-than
≥	equal, equals, greater than or equal to, greater-than, inequality
≳	equivalent, greater-than, greater-than or equivalent to, inequality, mathematics
≺	mathematics, ordered set, precedes, set operator
≻	follows, mathematics, ordered set, set operator, succeeds
⊁	does not succeed, mathematics, ordered set, set operator
⊃	mathematics, proper superset, set operator, superset of
⊆	equal, mathematics, subset, subset of or equal to
⊇	equal, mathematics, superset, superset of or equal to
⊕	circled plus, direct sum, exclusive or, logic, mathematics
⊖	circled minus, erosion, mathematics, symmetric difference
⊗	Kronecker, circled times, product, tensor
⊙	XNOR, circled dot operator, mathematics, vector
⊛	circled asterisk operator
⊞	addition-like, free additive convolution, mathematics, squared plus
⊮	does not force, mathematics
⊰	mathematics, ordered set, precedes under relation, set operator
⊱	mathematics, ordered set, set operator, succeeds under relation
⋭	does not contain as normal subgroup equal, does not contain as normal subgroup or equal, group theory, mathematics
⊶	original, original of
⋰	ellipsis, mathematics, upwards diagonal ellipsis, upwards right diagonal ellipsis
⋱	downwards right diagonal ellipsis, ellipsis, mathematics
■	black square, filled square
□	hollow square, white square
▢	hollow square with rounded corners, white square with rounded corners
▣	hollow square containing filled square, white square containing black small square
▦	square with orthogonal crosshatch fill
▧	square with upper left to lower right fill
▨	square with upper right to lower left fill
▩	square with diagonal crosshatch fill
▬	black rectangle, filled rectangle
▭	hollow rectangle, white rectangle
▮	black vertical rectangle, filled vertical rectangle
▰	black parallelogram, filled parallelogram
▲	arrow, black up-pointing triangle, filled up-pointing triangle, triangle, up
△	hollow up-pointing triangle, white up-pointing triangle
▴	black up-pointing small triangle, filled up-pointing small triangle
▵	hollow up-pointing small triangle, white up-pointing small triangle
▷	hollow right-pointing triangle, white right-pointing triangle
▸	black right-pointing triangle, filled right-pointing small triangle
▹	hollow right-pointing small triangle, white right-pointing small triangle
►	black right-pointing pointer, filled right-pointing pointer
▻	hollow right-pointing pointer, white right-pointing pointer
▼	arrow, black down-pointing triangle, down, filled down-pointing triangle, triangle
▽	hollow down-pointing triangle, white down-pointing triangle
▾	black down-pointing small triangle, filled down-pointing small triangle
▿	hollow down-pointing small triangle, white down-pointing small triangle
◁	hollow left-pointing triangle, white left-pointing triangle
◂	black left-pointing small triangle, filled left-pointing small triangle
◃	hollow left-pointing small triangle, white left-pointing small triangle
◄	black left-pointing pointer, filled left-pointing pointer
◅	hollow left-pointing pointer, white left-pointing pointer
◆	black diamond, filled diamond
◇	hollow diamond, white diamond
◈	hollow diamond containing filled diamond, white diamond containing black diamond
◉	circled dot, concentric circles filled, fisheye, hollow circle containing filled circle, white circle containing black circle
○	circle, hollow circle, ring, white circle
●	black circle, circle, filled circle
◔	circle with upper-right quadrant filled
◕	circle with all but upper-left quadrant filled
◖	left half black circle, left half filled circle
◗	right half black circle, right half filled circle
